name,district,street,address,lng,lat,multi_rent,high_rent,low_rent
皇达东方雅苑,福田区,福田街道,福田区益田路3002号,114.052336,22.526552,,116,
旭源怡景轩,龙岗区,龙岗街道,深圳市龙岗区南联碧新路与八仙岭公园段交汇处,114.265397,22.713939,,41,
东门广场,罗湖区,东门街道,罗湖区湖贝路东门广场2163号,114.118771,22.547597,,78,
合家欢园,龙岗区,龙岗街道,龙岗区植物园路279号,114.261989,22.712604,51,,
越众小区,福田区,香蜜湖街道,福田区竹子林六路8号,114.006444,22.539557,80,,
天安高尔夫珑园,福田区,沙头街道,车公庙天安开发区内泰然一路,114.02819,22.53444,,140,
东方·尊峪花园,罗湖区,莲塘街道,罗湖区罗沙路2018号,114.186794,22.561112,,73,
里仁府,宝安区,新安街道,宝安区宝安大道与上川一路交汇处东南侧,113.88101,22.568041,,62,
五矿三号大院,罗湖区,翠竹街道,罗湖区翠竹片区文锦北路1048号,114.119483,22.562539,73,,
华佳大厦,罗湖区,黄贝街道,罗湖区罗沙公路与沿河北路交汇处东南侧,114.140111,22.554264,,61,
怡景花园别墅,罗湖区,黄贝街道,罗湖区怡景路2003号,114.131327,22.557909,,,180
供电局综合楼,盐田区,海山街道,盐田区深盐路与海山路交汇处东北侧,114.236003,22.561367,54,,
风和日丽花园三期,龙华区,民治街道,宝安区民治街道风和日丽45号,114.025209,22.641841,49,,
润裕山景豪苑一期,福田区,梅林街道,福田区龙尾路9号,114.037202,22.572111,,77,
阳光棕榈园二期,南山区,南山街道,南山区前海路与学府路交汇处南侧,113.908592,22.530402,96,91,
万科城（二区）,龙岗区,坂田街道,龙岗区坂雪岗大道与贝尔路交汇处东北侧,114.063779,22.651438,,75,77
新裕综合楼,盐田区,沙头角街道,盐田区元墩头东街2号,114.224147,22.557468,42,,
天安高尔夫花园,福田区,沙头街道,福田区泰然三路,114.027802,22.53664,,87,
蛟湖迎宾大院,罗湖区,东门街道,罗湖区蚊湖路与新园路交汇处西侧,114.112547,22.553512,71,,
蛟湖税务局住宅,罗湖区,东门街道,罗湖区蛟湖路与新园路交汇处西北侧,114.113154,22.552724,75,,
仙桐合正锦园,罗湖区,莲塘街道,罗湖区国威路东1号,114.173716,22.565536,,69,
荔园新村,南山区,沙河街道,南山区深南大道与侨城西街交汇处西侧,113.971005,22.543485,83,,
绿景香颂美庐园,龙华区,民治街道,宝安区龙华镇,114.030936,22.632256,,82,
静逸居,福田区,华富街道,福田区静逸街5号,114.081937,22.562189,72,,
南苑,罗湖区,南湖街道,罗湖区南湖路1001号,114.117578,22.537253,,77,
中泰燕南名庭二期,福田区,华强北街道,福田区燕南路与振华路交界处,114.088439,22.547545,,118,
文福大厦,宝安区,福永街道,宝安区石厦路与永丰一路交汇处东北侧,113.82229,22.676948,29,,
富瑰园,宝安区,西乡街道,宝安区庄边路与建安二路交汇处东侧,113.879128,22.585692,54,57,
锦滨苑,福田区,沙头街道,福田区新洲三街103号,114.037817,22.528991,79,,
锦洲花园,福田区,沙头街道,福田区新洲三街168号,114.039482,22.528848,80,,
鹏盛年华公寓,福田区,园岭街道,福田区八卦一路39号,114.095089,22.559449,,99,
华盛盛荟名庭（商品住房）,宝安区,新安街道,宝安新安老城上川路与建安一路交汇处,113.888382,22.576464,,81,
百兴苑,福田区,梅林街道,福田区梅华路与中康路交汇处西北侧,114.051918,22.567885,76,,
华浩源四期,龙岗区,布吉街道,景芬路3号,114.119254,22.627113,,48,
华清园,罗湖区,黄贝街道,罗湖区经二路38号,114.146423,22.556445,,65,
南溪新苑,福田区,沙头街道,福田区新洲二街西侧,114.041251,22.52455,,101,
棕榈滩花园,罗湖区,清水河街道,罗湖区银湖路金湖一街38号,114.078999,22.577843,,71,
洪湖二街2号大院,罗湖区,笋岗街道,罗湖区笋岗片区文锦北路洪湖二街2号,114.117646,22.564151,61,,
商贸商住楼,盐田区,沙头角街道,盐田区沙深路与沙盐路交汇处东南侧,114.225523,22.551299,42,,
领航里程花园,宝安区,航城街道,宝安区西乡街道航城大道北侧,113.852053,22.613251,71,72,
环保局大院,罗湖区,桂园街道,罗湖区红宝路50号,114.100806,22.549886,67,,
滨苑小区,罗湖区,桂园街道,罗湖区桂园片区红岭南路1004号,114.100844,22.539622,65,,
汇宾广场二期,南山区,南山街道,南山区内环路以南,113.912341,22.512765,,110,
山泉小区,盐田区,沙头角街道,盐田区深盐路与工业东街交汇处东北侧,114.222975,22.557764,47,,
英郡年华花园一期,龙岗区,南湾街道,龙岗区深惠公路与岭背路交汇处南侧,114.144405,22.61974,,59,
西岸观邸花园,宝安区,新安街道,宝安区甲岸路与新湖路交汇处东侧,113.89063,22.553504,,95,
松园南十巷,罗湖区,桂园街道,罗湖区桂园片区桂园北路115号,114.106635,22.556294,83,,
吉星花园,龙岗区,布吉街道,龙岗区深惠公路与荣超路交汇处东南侧,114.112452,22.595914,43,,
瑞苑,罗湖区,桂园街道,罗湖区松园路75号,114.102576,22.555105,,80,
荔兴苑,南山区,招商街道,南山区工业八路与沿山路交汇处西侧,113.914331,22.503454,79,,
嘉葆润金座家园二期,福田区,沙头街道,(福田区新洲)新洲九街185号,114.042841,22.526202,,129,
楚丰广场,龙岗区,龙城街道,龙岗区盛平片区龙平东路530号,114.249583,22.735589,,40,
科苑西住宅小区,南山区,粤海街道,"科发路7号, 科兴路6号, 翠西路2号",113.939558,22.545385,94,,
罗湖工区,罗湖区,翠竹街道,罗湖区翠竹片区水贝一路49号,114.121691,22.57105,67,,
润裕山景豪苑二期,福田区,梅林街道,福田区龙尾路9号,114.037022,22.572011,,84,
盛迪嘉光明壹号花园二期,光明区,凤凰街道,深圳市光明新区高新西区科发路西侧、十七号南侧,113.923145,22.739599,,48,
三湘海尚花园二期,南山区,蛇口街道,南山区深圳湾口岸边防检查站,113.937994,22.504289,,255,
乐意楼,罗湖区,莲塘街道,罗湖区仙湖路96号,114.162578,22.567699,61,,
莱蒙水榭春天五期,龙华区,民治街道,宝安区民治街道办梅龙路西侧,114.022538,22.626491,,80,
鼎太风华社区二期,南山区,南山街道,南山区前海路西,113.905978,22.523217,,97,
侨苑一期,南山区,沙河街道,南山区深南大道与沙河东路交汇处东侧,113.963394,22.544446,,94,
星海名城二期,南山区,南头街道,南山区前海路3101号,113.908876,22.541569,,89,
溪山美地园二期,龙华区,民治街道,宝安区梅坂大道与五和路交汇处西侧,114.05327,22.602687,,81,86
星航华府四期,宝安区,福永街道,深圳市航空新城宝安107国道兴围路口,113.828414,22.645671,,62,
天琴湾三期,盐田区,梅沙街道,盐田区盐坝高速公路与二线公路交汇处东南侧,114.317817,22.60059,,,218
龙岸花园,龙岗区,坂田街道,宝安区五和南路与南坑北路交汇处西侧,114.052106,22.617057,,79,91
深荣大厦,福田区,福田街道,福田区福强路1045号,114.062137,22.520931,,104,
松泉公寓,罗湖区,东晓街道,罗湖区太白路与翠竹路交汇处东北侧,114.124192,22.580386,62,,
鸣乐大厦,宝安区,西乡街道,宝安区西乡街道鸣乐街43号东,113.871278,22.577804,49,,
振业峦山谷花园一期,龙岗区,宝龙街道,龙岗区嶂背路与宝荷路交汇处东南侧,114.261386,22.689665,,39,
锦星花园,罗湖区,黄贝街道,罗湖区文华片区春风路1005号,114.128198,22.544639,66,,
海航国兴花园二期,龙岗区,龙岗街道,龙岗大道与碧新路交汇处,114.262224,22.72723,,46,
森泉雅轩,龙岗区,园山街道,龙岗大道,114.222751,22.680442,,48,
振业峦山谷花园二期,龙岗区,宝龙街道,龙岗区龙岗镇,114.257814,22.68481,,39,42
摩尔城,龙岗区,龙岗街道,龙岗区鹏达商业街与深惠公路交汇处东南侧,114.263555,22.725252,,44,
深业紫麟山花园,龙岗区,龙城街道,龙岗区龙平西路与长兴北路交汇处北侧,114.241422,22.739018,,36,50
紫薇花园东区,龙岗区,龙城街道,龙岗区公园路11号,114.236625,22.720857,35,,
洪湖二街44号大院,罗湖区,笋岗街道,罗湖区洪湖五街与洪湖二街交汇处北侧,114.115624,22.563999,61,,
洪湖花园,罗湖区,笋岗街道,罗湖区笋岗片区洪湖路10号,114.115688,22.559761,,67,
洪湖二街14号大院,罗湖区,笋岗街道,罗湖区洪湖二街与洪湖五街交汇处东北侧,114.116229,22.563709,66,,
阳光花园二期,龙岗区,吉华街道,福田区吉华路与新龙路交汇处东侧,114.111136,22.618337,49,,
鼎太风华社区八期,南山区,南山街道,南山区前海路西,113.907186,22.524648,,106,
尚水天成花园,龙岗区,吉华街道,深圳下水径地铁站A出口（约300米）,114.100978,22.61974,,67,
洪湖二街4号大院,罗湖区,笋岗街道,罗湖区笋岗片区文锦北路洪湖二街4号,114.116806,22.564678,70,,
港莲村,罗湖区,莲塘街道,罗湖区港莲路与莲四支路交汇处南侧,114.165854,22.560702,47,,
丽廷豪苑,龙岗区,布吉街道,龙岗区龙岭东路与龙岭路交汇处北侧,114.108003,22.608742,,69,
京基御景峯（商品住房）,南山区,桃源街道,深圳市南山区留仙大道长岭陂地铁站A1出口,114.008092,22.600818,,87,
通发花园,罗湖区,黄贝街道,罗湖区新秀路29号,114.143934,22.549862,60,,
深港豪苑,罗湖区,桂园街道,罗湖区桂园片区宝安南路2078号,114.104813,22.552707,,81,
鹏基生活区,罗湖区,莲塘街道,罗湖区仙湖路与莲士路交汇处南侧,114.16168,22.568472,71,,
星都豪庭,龙岗区,布吉街道,深圳市龙岗区地铁三号线大芬站A出口（大芬沃尔玛旁）,114.133095,22.614956,,75,
盛迪嘉光明壹号花园三期,光明区,凤凰街道,深圳市光明新区高新西区科发路西侧、十七号南侧,113.924122,22.740452,,49,
翠峰丽景,龙岗区,平湖街道,龙岗区横岭路与凤凰大道交汇处南侧,114.136644,22.697706,39,38,
蛟湖路三号大院,罗湖区,东门街道,罗湖区新园路97号,114.11312,22.553089,67,,
招商观园,龙华区,观湖街道,宝安区环观南路与梅观高速交汇处东侧,114.056746,22.693186,53,50,49
优品艺墅雅居,盐田区,梅沙街道,盐田区环梅路68号,114.29913,22.602534,48,,
招商桃花园三期,南山区,招商街道,南山区海滨大道与工业八路交汇处西南侧,113.911177,22.505555,,93,
翠沁阁,罗湖区,翠竹街道,罗湖区翠竹片区东门北路2057号,114.127826,22.561308,,88,
万科东海岸一期,盐田区,梅沙街道,盐田区盐坝高速公路与内环路交汇处西北侧,114.292605,22.602272,50,49,52
海丰苑,罗湖区,南湖街道,罗湖区人民南路3001号,114.113045,22.543278,,93,
佳华领汇广场一期,龙岗区,坂田街道,深圳坂田五和大道吉华路交汇处,114.052928,22.635567,,71,
招商果岭花园,宝安区,西乡街道,宝安区西乡街道宝安大道与宾隆路交汇处西南侧,113.852652,22.587801,,73,
腾昌花园,龙岗区,横岗街道,龙岗区四联路与腾昌二路交汇处西南侧,114.187109,22.655384,37,39,
南方证券大厦,罗湖区,南湖街道,罗湖区建设路2018号,114.111883,22.543146,,93,
边检总站二大院,罗湖区,南湖街道,罗湖区南湘路与沿河南路交汇处南侧,114.119372,22.536549,62,,
信义湛宝大厦,龙岗区,横岗街道,龙岗区为民路与深惠公路交汇处西北侧,114.190835,22.645479,,56,
壹方商业中心三期,宝安区,新安街道,宝安区新安街道新湖路宝安区政府旁,113.883128,22.555603,,102,
合正荣悦府二期,罗湖区,翠竹街道,文锦中路东北侧,114.124706,22.55601,,116,
深勘宿舍,罗湖区,黄贝街道,罗湖区清平路13号,114.128391,22.549441,64,,
芙蓉大厦,罗湖区,南湖街道,罗湖区雨湖路与嘉宾路交汇处东侧,114.117576,22.542534,75,74,
家和花园南区,龙岗区,坂田街道,五和南路75号,114.056366,22.614319,56,,
风临洲苑,宝安区,新安街道,宝安区新安街道84区风临洲苑1栋,113.884392,22.562112,,84,
桥东新村中区,盐田区,沙头角街道,盐田区金融路与公园街交汇处南侧,114.226985,22.550848,48,,
桂芳园五期,龙岗区,南湾街道,龙岗区布吉东大街与深惠公路交汇处东南侧,114.136693,22.615976,,57,
福源花园二期,福田区,福保街道,福田区桂花路与海红路交汇处西南侧,114.047925,22.51204,,83,
福田法庭住宅楼,福田区,南园街道,福田福田区滨河大道南面,114.086936,22.536339,87,,
宝龙苑,罗湖区,东湖街道,罗湖区太安路4号,114.133642,22.573036,66,72,
企岗山住宅区,宝安区,福永街道,宝安区航站一路与机场路交汇处东侧,113.823598,22.649803,44,,
城市峰尚花园,宝安区,西乡街道,宝安区银田路与宝源路交汇处西侧,113.845734,22.577181,,76,
山语华庭,宝安区,新安街道,宝安区西乡大道与公园路交汇处南侧,113.893201,22.592397,,58,
熙龙湾花园一期,宝安区,新安街道,宝安区新安海旺片区甲岸路与海秀路交汇,113.883989,22.550482,,100,
燃气公司宿舍,罗湖区,翠竹街道,罗湖区翠竹片区田贝四路12号,114.123858,22.567949,74,,
广东省银行大厦,罗湖区,南湖街道,罗湖区人民南路1011号,114.113372,22.53775,,76,
英郡年华花园二期,龙岗区,南湾街道,龙岗区深惠公路与岭背路交汇处南侧,114.145624,22.618805,,66,
滢水山庄二期,龙华区,民治街道,宝安区梅坂大道与滢水二路交汇处南侧,114.045814,22.60532,52,,
裕安花园(罗湖),罗湖区,南湖街道,罗湖区渔民村53号,114.106969,22.536448,63,,
华业玫瑰郡（商品住房）,龙岗区,龙城街道,龙岗区龙平西路与吉祥中路交汇处北侧,114.232368,22.734648,,45,
招商澜园,龙华区,观湖街道,宝安区大和路与竹园路交汇处西侧,114.042301,22.687572,,54,
金海华府,宝安区,新安街道,宝安区锦华路与新安四路交汇处东侧,113.890495,22.585373,,68,
丹郡花园,龙岗区,南湾街道,沙平南路123号,114.151196,22.622133,,50,
中翠花园,龙岗区,布吉街道,龙岗区布吉东大街与深惠公路交汇处南侧,114.134843,22.615291,,54,
缔梦园三期,福田区,莲花街道,福田区莲花西路2071号,114.036131,22.555109,,121,
宝安新村,宝安区,新安街道,宝安区新安街道流塘路333号,113.888039,22.590841,49,,
美晨苑,福田区,福保街道,福田区福强路2167号,114.055827,22.517635,,78,
深信泰丰大厦,宝安区,新安街道,宝安区创业二路与前进一路交汇处东南侧,113.90077,22.571727,,71,
鹏湾丽苑,盐田区,沙头角街道,盐田区阳和街14号、横头街11、13号,114.226881,22.546927,54,,
达海花园,宝安区,新安街道,宝安区新城大道与罗田路交汇处北侧,113.878587,22.567151,63,60,
罗湖住宅局住宅楼,盐田区,沙头角街道,盐田区梧桐路2070号,114.224306,22.558322,45,,
海映山庄,南山区,粤海街道,南山区华明路1号,113.924838,22.510118,79,,
万科城四期,龙岗区,坂田街道,龙岗区坂雪岗大道与贝尔路交汇处东北侧,114.066015,22.648256,,57,60
颐合花园,宝安区,西乡街道,宝安区共和共业路与西乡大道交汇处东北侧,113.866952,22.583346,46,,
熙元山院,龙华区,民治街道,宝安区民治街道逸秀新村15号,114.020924,22.606169,,95,168
绿海名居,宝安区,西乡街道,宝安区西乡街道海滨大道,113.854062,22.565502,,67,
食品公司住宅楼(南区),罗湖区,黄贝街道,罗湖区凤凰街39号,114.128338,22.551494,66,,
森威大厦,罗湖区,南湖街道,罗湖区新安路4号,114.124636,22.542915,,79,
沙栏吓裕华楼,盐田区,沙头角街道,盐田区环城路5号,114.227701,22.54521,48,,
丽景城,宝安区,西乡街道,宝安区西乡大道与锦花路交汇处西南侧,113.882248,22.591992,57,58,
万裕椰风海岸家园,南山区,南头街道,南山区桃园路南港湾大道东,113.906173,22.534366,,90,
向南茗轩,南山区,南山街道,南山区南新路与海德二道交汇处东侧,113.915694,22.524565,97,,
