districtname,zoneName,communityName,communityId,multiRent,highRent,lowRent
南山区,西丽街道,留仙洞关外统建楼,225,58,,
福田区,梅林街道,天心花园一期,234,60,,
坪山区,碧岭街道,倚湖居,239,,30,
坪山区,石井街道,岭脚小区统建楼,259,32,,
南山区,桃源街道,汇文苑,281,71,,
光明区,玉塘街道,星湖名居,295,,30,
宝安区,沙井街道,恒基花园,297,,33,
光明区,公明街道,美庭花园,301,,32,
光明区,公明街道,百世珑庭,303,,34,
龙华区,福城街道,泰莱雅苑,309,,35,
南山区,南山街道,北头西苑,313,77,,
南山区,南山街道,弘都商务公寓,325,,95,
龙华区,民治街道,龙光玖钻北区,329,,86,
龙岗区,布吉街道,湾涛时代公馆,331,,75,
龙岗区,南湾街道,东部英郡假日广场,332,,66,
龙岗区,龙岗街道,金地龙城中央（商务公寓）,346,,52,
龙华区,民治街道,汇德大厦,347,,103,
罗湖区,南湖街道,深南阳光大厦,351,,128,
龙华区,龙华街道,华盛珑悦花园（商务公寓）,352,,91,
龙岗区,龙岗街道,富基置地大厦,363,,65,
宝安区,松岗街道,联投东方华府二期（商务公寓）,529,,57,
福田区,福田街道,名津广场（商务公寓）,515,,99,
龙岗区,龙城街道,名居广场（商务公寓）,521,,59,
大鹏新区,大鹏街道,佳兆业假日广场（商务公寓）,526,,47,
龙华区,龙华街道,龙湖春江天玺,532,,86,
龙岗区,龙城街道,华业玫瑰郡（商务公寓）,371,,53,
罗湖区,桂园街道,龙园创展大厦,394,,100,
龙岗区,横岗街道,荣德时代广场,396,,65,
福田区,福田街道,汉国城市商业中心,404,,150,
盐田区,海山街道,雅庭海湾国际大酒店,409,,67,
宝安区,新桥街道,星宸大厦,410,,64,
盐田区,海山街道,悦林大厦,412,,80,
宝安区,新安街道,中粮紫云大厦,415,,100,
坪山区,坪山街道,六和商业广场一期（商务公寓）,416,,52,
宝安区,新安街道,前海颐大厦华寓,437,,98,
福田区,莲花街道,传麒景苑,438,,154,
南山区,粤海街道,华润城润府（四期）,439,,134,
南山区,南山街道,向南瑞峰花园（商务公寓）,448,,127,
福田区,沙头街道,京基滨河时代广场,467,,171,
宝安区,西乡街道,中粮锦云花园（商务公寓）,468,,69,
南山区,粤海街道,华润城润府二期（商务公寓）,471,,180,
南山区,南头街道,翡翠明珠花园（商务公寓）,480,,133,
南山区,南山街道,海德大厦,483,,110,
福田区,莲花街道,中国凤凰大厦,496,,125,
福田区,香蜜湖街道,联泰大厦,500,,119,
光明区,凤凰街道,盛迪嘉光明壹号花园（商务公寓）,432,,49,
龙岗区,吉华街道,倚山居,6,,36,
宝安区,沙井街道,共和花园,11,,29,
罗湖区,东湖街道,布心山庄东区龙兴苑,16,50,,
龙华区,大浪街道,平和雅苑,26,,34,
龙岗区,布吉街道,老圩统建楼,35,36,,
龙岗区,坂田街道,大光勘村统建楼,36,,35,
龙岗区,坂田街道,杨美统建楼,37,,33,
龙华区,龙华街道,祥和御园,41,,41,
龙岗区,龙岗街道,新翠雅苑,48,,32,
龙岗区,南湾街道,原善窝统建楼,49,,40,
龙华区,福城街道,汇龙公馆,56,,35,
龙岗区,平湖街道,统建街旁统建楼,57,32,,
龙华区,大浪街道,元芬金园大厦,59,,39,
龙岗区,南湾街道,金达豪花园,62,,44,
龙岗区,宝龙街道,居安公馆,64,,31,
龙岗区,龙岗街道,阳光达,65,,25,
龙华区,大浪街道,鸿盛御景,66,,39,
龙华区,大浪街道,科尔雅苑,72,,36,
龙华区,大浪街道,盛旺家园,73,,39,
龙华区,福城街道,章阁中心城,76,,35,
龙岗区,坪地街道,祥地商务大厦,102,,26,
龙华区,龙华街道,东富龙花园,109,,44,
南山区,南山街道,平山居,114,72,,
宝安区,沙井街道,马安山花园,119,,37,
宝安区,沙井街道,濠景时代,120,,34,
宝安区,石岩街道,金豪世家花园,121,,36,
宝安区,新桥街道,富居花园,144,,36,
宝安区,石岩街道,祝龙田人才公寓,147,,32,
宝安区,松岗街道,金福雅苑,149,,32,
宝安区,西乡街道,雍华源,155,,46,
光明区,马田街道,明知花苑,156,,35,
光明区,公明街道,龙庭阁,173,,36,
宝安区,西乡街道,铁岗大厦,179,,41,
宝安区,沙井街道,和悦苑,185,,31,
宝安区,西乡街道,固戍综合楼,198,,45,
宝安区,石岩街道,坑尾新村统建楼,200,31,,
宝安区,松岗街道,麒麟雅居,205,,31,
宝安区,沙井街道,新城市广场,206,,34,
宝安区,新桥街道,长丰华庭,207,,36,
宝安区,新桥街道,洪田统建楼,209,,30,
宝安区,沙井街道,上善居,224,,32,
南山区,南头街道,一甲海边新村（统建楼）,226,72,,
福田区,梅林街道,梅丰花园,230,55,,
福田区,梅林街道,锦安楼,232,55,,
光明区,光明街道,侨新花园,233,34,,
福田区,梅林街道,裕田花园,238,59,,
宝安区,沙井街道,蚝二学府花园,242,,37,
福田区,南园街道,统建商住楼,257,,70,
光明区,玉塘街道,锦田湾,266,,32,
宝安区,沙井街道,裕和花园,267,,29,
宝安区,燕罗街道,众和花园,274,,29,
光明区,公明街道,东宝华庭,293,32,32,
龙岗区,南湾街道,黄金富苑,307,,41,
龙华区,龙华街道,共和和丰大厦,308,,50,
宝安区,福永街道,凌霄花园小区,311,36,36,
宝安区,松岗街道,金花围小区,312,,30,
宝安区,新安街道,上合花园,315,,44,
龙华区,福城街道,富金苑,318,38,,
坪山区,坪山街道,深城投·中心公馆（商务公寓）,319,,52,
盐田区,沙头角街道,御景翠峰小区,324,,80,
罗湖区,东门街道,地铁远为大厦,330,,106,
龙岗区,横岗街道,荣德国际雨辰公寓,334,,59,
龙岗区,龙岗街道,满京华喜悦里,336,,54,
龙岗区,龙城街道,正中时代广场,337,,50,
龙岗区,龙城街道,中粮祥云（商务公寓）,338,,58,
龙岗区,龙城街道,金基吉祥广场,356,,62,
龙华区,民治街道,星河传奇花园三期,360,,88,
龙华区,民治街道,红山六九七九一期,364,,103,
龙岗区,布吉街道,信义莉景御苑,365,,88,
罗湖区,桂园街道,鸿翔花园（商务公寓）,367,,99,
龙岗区,坂田街道,嘉霖华禧（商务公寓）,377,67,68,
龙岗区,园山街道,星河智荟花园（商务公寓）,378,,53,
龙华区,龙华街道,维雅德大厦,379,,71,
罗湖区,桂园街道,红桂皇冠名庭（商务公寓）,388,,103,
龙岗区,坂田街道,德润荣君府（商务公寓）,398,,90,
罗湖区,南湖街道,双城世纪,399,,86,
宝安区,福海街道,会展湾中港广场（B区）,508,,68,
福田区,沙头街道,红树华府,518,,144,
南山区,招商街道,水湾壹玖柒玖广场（二期）,407,,140,
南山区,南头街道,海岸时代公寓,411,,93,
福田区,华富街道,深业上城（北区）,420,,154,
宝安区,西乡街道,"华海金湾公馆（A104-0136）
（商务公寓）",426,,92,
宝安区,新桥街道,湾景商务中心,434,,69,
福田区,沙头街道,君临天下,442,,150,
宝安区,石岩街道,汇裕名都花园（二期）,443,,79,
南山区,粤海街道,瑞府,454,,180,
宝安区,松岗街道,松河瑞园,456,,48,
福田区,华强北街道,新亚洲国利大厦,462,,133,
盐田区,梅沙街道,中通水岸,464,,62,
光明区,公明街道,"福盈中央山花园南区
（商务公寓）",475,,46,
福田区,香蜜湖街道,金地网球花园,477,,121,
福田区,莲花街道,英龙商务大厦,482,,134,
福田区,沙头街道,NEO绿景广场,485,,128,
宝安区,松岗街道,松河瑞园二期（商务公寓）,486,,53,
福田区,梅林街道,理想公馆,489,,191,
南山区,南山街道,丽湾商务公寓,490,,103,
光明区,公明街道,"福盈中央山花园北区
（商务公寓）",494,,47,
坪山区,碧岭街道,新城东方丽园,498,,46,
龙岗区,横岗街道,信义御城豪园（商务公寓）,333,,62,
龙华区,民治街道,西头东苑,13,,42,
龙华区,龙华街道,东华苑,15,,50,
龙华区,福城街道,百丽名苑,19,,36,
龙岗区,布吉街道,金鹏路第二统建楼,34,40,,
龙华区,观湖街道,新安居花园,43,,32,
龙华区,福城街道,金富苑,44,37,,
龙华区,龙华街道,华美苑,81,,47,
龙华区,民治街道,塘水尾村统建楼,89,,38,
龙华区,大浪街道,龙胜时代大厦,90,,44,
龙华区,观湖街道,新田茗苑,99,,33,
盐田区,梅沙街道,大梅沙村统建楼,110,40,,
南山区,南头街道,阳光雅苑,112,,70,
宝安区,福永街道,育才花园（统建楼）,116,,35,
宝安区,沙井街道,大王山彩虹居,117,,28,
宝安区,福永街道,听涛雅苑二期,123,,38,
宝安区,西乡街道,固戍华庭,127,,44,
宝安区,松岗街道,山美新村大厦,139,,35,
宝安区,福海街道,稔田花园,142,,35,
光明区,公明街道,御景新城,146,,33,
宝安区,沙井街道,公园茗苑,148,,35,
坪山区,碧岭街道,汤亨花园,150,,35,
宝安区,新桥街道,荣泰园,151,,40,
宝安区,石岩街道,军荟花园,153,,35,
宝安区,西乡街道,鼎尚时代,159,,47,
南山区,桃源街道,平山公寓楼,160,74,,
宝安区,航城街道,雅居苑,161,,50,
宝安区,航城街道,后瑞华庭,167,,45,
大鹏新区,葵涌街道,明珠花园,168,27,,
光明区,公明街道,雅庭居,171,,31,
宝安区,石岩街道,郑屋围花园,175,,31,
宝安区,新桥街道,芙景豪庭,182,,32,
宝安区,石岩街道,鸿景花园二期,186,,33,
宝安区,新桥街道,财富公馆,188,,34,
宝安区,福海街道,福永商会信息大厦,189,,35,
宝安区,沙井街道,星河名苑,191,,32,
宝安区,沙井街道,华美居,193,,36,
光明区,凤凰街道,东坑统建楼,202,,35,
大鹏新区,大鹏街道,岭澳花园,214,30,,
福田区,梅林街道,云中大厦,215,68,,
坪山区,坑梓街道,梓兴花园,217,,27,
坪山区,龙田街道,新屋统建楼,221,,27,
光明区,光明街道,民盛花园,229,,26,
福田区,梅林街道,天心花园二期,235,60,,
福田区,梅林街道,平安阁,237,60,,
宝安区,沙井街道,雅景苑,248,,31,
宝安区,松岗街道,红星国际,252,,36,
大鹏新区,葵涌街道,官湖统建楼,256,,28,
南山区,南头街道,田厦统建楼,258,72,,
宝安区,沙井街道,康城花园,261,,32,
宝安区,沙井街道,田沁花园,268,,30,
宝安区,沙井街道,蚝三民主丰泽园,270,,35,
南山区,桃源街道,龙井庭苑,280,65,,
宝安区,西乡街道,荣恒新苑,288,,47,
大鹏新区,大鹏街道,布新统建楼,292,,30,
罗湖区,东湖街道,大望苑,299,51,,
南山区,南山街道,西苑小区,300,74,,
光明区,马田街道,根竹园花园,302,30,31,
龙华区,龙华街道,大唐时代公寓,316,,49,
宝安区,航城街道,雅庭苑,317,,50,
南山区,桃源街道,京基御景峯（商务公寓）,320,,85,
南山区,粤海街道,阳光粤海花园一期（商务公寓）,321,,144,
坪山区,坪山街道,深城投中城花园一期（商务公寓）,322,,65,
南山区,沙河街道,懿德轩,326,250,250,
龙岗区,龙城街道,启迪协信商务公寓,328,,52,
龙岗区,坂田街道,碧桂园荣汇府,335,,83,
龙岗区,龙城街道,琳珠华庭（商务公寓）,342,,57,
龙岗区,横岗街道,港信达银信广场（商务公寓）,344,,64,
龙岗区,横岗街道,"东城中心花园三期-A区
（商务公寓）",345,,65,
龙岗区,龙城街道,恒大城市之光,349,,59,
龙岗区,龙岗街道,远洋新干线晶钻广场,353,,53,
龙华区,龙华街道,富驰大厦,357,,70,
龙岗区,吉华街道,赛格新城,372,,74,
龙岗区,龙城街道,启迪协信科技园,381,,57,
福田区,沙头街道,金润大厦,501,,78,
宝安区,福永街道,菁英领寓,506,,60,
宝安区,松岗街道,联投东方华府一期（商务公寓）,520,,58,
福田区,香蜜湖街道,越众越海家园（商务公寓）,527,,127,
罗湖区,翠竹街道,海洋大厦（商务公寓）,522,,102,
福田区,南园街道,佳兆业中心,502,,112,
光明区,光明街道,新地中央公寓,524,,63,
宝安区,新安街道,27区华联城市全景,530,,110,
龙岗区,龙岗街道,金地凯旋广场,386,,53,
罗湖区,南湖街道,罗湖金岸,387,,85,
罗湖区,东门街道,新世界大厦,389,,102,
罗湖区,笋岗街道,华商时代公寓,395,,94,
宝安区,西乡街道,万骏汇商务公寓,413,,70,
南山区,南山街道,泛海城市广场,418,,114,
南山区,粤海街道,华润城华润置地大厦（一期）,428,,210,
宝安区,西乡街道,魅力时代花园（商务公寓）,440,,91,
福田区,华强北街道,华强广场,441,,136,
宝安区,新安街道,嘉洲商务中心,445,,101,
南山区,南山街道,前海枫叶大厦,455,,137,
南山区,南山街道,光彩新天地,460,,103,
盐田区,海山街道,壹海城2期玺湾,463,,88,
福田区,福田街道,华嵘大厦,466,,165,
南山区,沙河街道,深湾汇云中心一期,469,,143,
福田区,沙头街道,嘉州富苑,478,,136,
福田区,华强北街道,鼎诚国际大厦,479,,150,
盐田区,海山街道,昊海君悦大厦,484,,74,
福田区,梅林街道,御锦公馆,487,,149,
南山区,粤海街道,深圳湾1号广场南区,488,,350,
福田区,香蜜湖街道,东海国际中心二期,492,,184,
福田区,香蜜湖街道,富春东方大厦,495,,176,
罗湖区,东湖街道,东乐南苑,14,50,,
龙华区,龙华街道,旭日小区翔源阁,17,,41,
龙华区,龙华街道,梅龙苑,18,,45,
龙华区,龙华街道,龙安大厦,24,,40,
龙华区,大浪街道,家声楼,27,,34,
龙岗区,南湾街道,翠山路统建楼,30,,45,
龙岗区,南湾街道,南岭北路统建楼,31,,40,
龙华区,民治街道,民乐花园,38,50,49,
龙华区,民治街道,民乐统建楼,39,,55,
龙华区,民治街道,华侨新苑,40,,48,
罗湖区,东湖街道,布心中学综合楼,58,52,,
龙岗区,南湾街道,南岭中心大厦,61,,39,
龙岗区,南湾街道,福景苑,68,,43,
龙岗区,布吉街道,名仕轩,70,,43,
龙华区,福城街道,汇龙峰景,74,,32,
龙华区,观湖街道,科苑,75,,34,
龙华区,龙华街道,依山小筑,79,,41,
龙华区,龙华街道,郭吓统建楼,82,50,,
龙华区,民治街道,牛栏前大厦,83,51,51,
龙岗区,坂田街道,水斗老围综合楼,84,,48,
龙华区,福城街道,荣辉花园,88,,36,
龙华区,福城街道,祥和山庄,97,32,33,
龙华区,龙华街道,华园道,105,51,,
龙华区,大浪街道,元芬花园,107,,41,
光明区,马田街道,大围新城,122,,32,
宝安区,西乡街道,光电大厦,124,,57,
宝安区,福永街道,听涛雅苑三期,128,,40,
宝安区,福永街道,听涛雅苑一期,129,,41,
宝安区,石岩街道,罗租统建楼,130,36,38,
宝安区,新桥街道,名豪丽城,131,,37,
宝安区,新桥街道,星悦豪庭三期,132,,40,
宝安区,松岗街道,前进公社,134,,36,
光明区,公明街道,国兰公寓,145,,37,
宝安区,西乡街道,东方雅苑,166,,56,
大鹏新区,葵涌街道,海岸新城,169,30,30,
宝安区,石岩街道,上屋置业广场,174,,35,
宝安区,石岩街道,元径旧村统建楼,176,,30,
宝安区,新桥街道,裕盛华庭,177,,41,
宝安区,石岩街道,致富居,190,,42,
光明区,马田街道,下屯旧村统建楼,195,,31,
宝安区,西乡街道,渔业新村统建楼,204,57,,
南山区,桃源街道,龙井花园,212,69,,
宝安区,石岩街道,塘坑统建楼,213,,29,
宝安区,西乡街道,固戍花园,218,,44,
宝安区,西乡街道,塘西小区,227,,46,
南山区,南山街道,德馨花园,231,77,77,
宝安区,福海街道,鸿德园,243,,42,
宝安区,沙井街道,华茂大厦,245,,29,
宝安区,石岩街道,春晖苑大厦,250,,35,
宝安区,石岩街道,盛世华庭,253,,40,
大鹏新区,大鹏街道,潮歌苑,255,,32,
光明区,凤凰街道,彩妮大厦,265,,31,
宝安区,沙井街道,鸿桥花园,269,,31,
宝安区,新桥街道,中心名座,271,,38,
宝安区,沙井街道,怡安花园,272,,34,
宝安区,松岗街道,东方御景,273,,34,
光明区,马田街道,秋园雅苑,276,,30,
光明区,凤凰街道,甲子塘村委统建楼,277,,35,
盐田区,沙头角街道,电信楼小区,284,42,,
宝安区,沙井街道,腾芳花园,286,,35,
宝安区,西乡街道,臣田新苑,289,,49,
宝安区,石岩街道,清雅苑,294,,39,
宝安区,航城街道,鹤洲豪庭,296,,42,
宝安区,福永街道,方格凤凰科技大楼,298,,41,
光明区,新湖街道,楼村花园,306,37,36,
龙华区,民治街道,华侨城创想大厦,339,,90,
罗湖区,翠竹街道,翡翠公寓,343,,127,
罗湖区,笋岗街道,深业泰富广场,348,,118,
龙岗区,横岗街道,东城中心花园三期（商务公寓）,350,,72,
龙华区,观湖街道,宝观城锦鲤大厦,366,,57,
龙岗区,龙城街道,保利上城一期,373,,49,
龙岗区,布吉街道,万科红立方大厦,383,,80,
龙岗区,坂田街道,创兴时代,384,,85,
罗湖区,南湖街道,幸福万象,385,,136,
龙岗区,布吉街道,凯旋天玺名庭（商务公寓）,392,,85,
罗湖区,桂园街道,中航凯特大厦公寓,393,,94,
罗湖区,笋岗街道,招商中环,401,,115,
南山区,西丽街道,万科云城一期,406,,113,
南山区,南山街道,冠泽大厦,531,,150,
福田区,华强北街道,恒邦时代大厦,504,,169,
福田区,华强北街道,宝树台,505,,153,
龙岗区,龙城街道,万科时代广场,528,,62,
坪山区,坪山街道,龙光玖云著,533,,52,
盐田区,沙头角街道,盛迪嘉海湾里大厦,511,,87,
宝安区,福永街道,凤凰领寓,514,,65,
南山区,南山街道,凯德公园一号广场,507,,143,
,,景兴海上广场一期,414,,152,
南山区,西丽街道,万科云城六期,417,,125,
南山区,南头街道,田厦金牛广场,419,,115,
南山区,粤海街道,深圳湾1号广场,422,,280,
盐田区,海山街道,深中润君临海域,423,80,81,
南山区,南山街道,公园道大厦,427,,136,
光明区,马田街道,益田假日府邸（商务公寓）,433,,49,
宝安区,福海街道,会展湾东城广场,435,,68,
宝安区,西乡街道,华丰前海湾二期,444,,87,
福田区,华强北街道,世纪汇广场,447,,142,
南山区,蛇口街道,半岛城邦花园四期（商务公寓）,452,,145,
福田区,福田街道,卓越世纪中心,461,,150,
福田区,香蜜湖街道,宝能城市公馆酒店公寓,472,,180,
南山区,粤海街道,中洲控股金融中心,473,,159,
坪山区,坑梓街道,富士锦园,474,,50,
罗湖区,黄贝街道,天景花园,1695,65,,
盐田区,梅沙街道,天琴湾一二期,2522,,,102
盐田区,盐田街道,海滨假日雅居,3032,,83,
宝安区,福永街道,天欣花园,3402,41,44,
福田区,福田街道,深华运输住宅楼,2726,78,,
福田区,福保街道,益田花园一二期,539,76,78,
龙岗区,宝龙街道,中信高尔夫天籁山庄,586,,,79
宝安区,西乡街道,百佳华大厦,2269,42,,
福田区,福保街道,骏皇名居,2270,,98,
福田区,香蜜湖街道,鸣泉居,2271,,111,
福田区,福田街道,鸿图大厦,3523,,99,
龙岗区,南湾街道,国香山花园,1027,,56,
罗湖区,清水河街道,银湖蓝山润园一期,1299,,109,
罗湖区,翠竹街道,旭飞华达园二期,1590,,99,
宝安区,新安街道,花乡家园,2352,,116,
福田区,华富街道,长福花园,3560,87,,
盐田区,盐田街道,黄必围住宅楼,4152,42,,
盐田区,盐田街道,中通半山半海花园,3812,,52,59
宝安区,松岗街道,红星花园,2345,28,,
福田区,莲花街道,鲁班大厦,2999,,78,
盐田区,海山街道,棕榈湾,2487,,63,
罗湖区,莲塘街道,华景园别墅北区,730,,,109
宝安区,松岗街道,居乐苑,2010,37,35,
罗湖区,黄贝街道,海丽大厦,1162,,72,
罗湖区,黄贝街道,深业东岭花园一期,1163,,102,
罗湖区,东晓街道,翠山花半里雅筑,1164,,78,
南山区,桃源街道,宝能城-西区,3145,,84,
罗湖区,清水河街道,祥青苑,980,84,,
龙岗区,布吉街道,桂芳园七期,981,61,59,
罗湖区,东晓街道,百仕达花园三期,3959,,80,
福田区,香蜜湖街道,龙溪花园,2239,92,95,
罗湖区,东晓街道,金迪名苑,718,,102,
福田区,福田街道,龙轩豪庭,2240,,130,
罗湖区,黄贝街道,深纺住宅楼(黄贝),1389,63,,
福田区,香蜜湖街道,耀荣园,2249,87,,
龙岗区,布吉街道,信义假日名城五期A区,1468,,68,
龙岗区,吉华街道,金域揽峰花园,1263,,64,
龙岗区,宝龙街道,中信高尔夫绿色山庄,1471,,,87
龙岗区,龙城街道,依山郡花园二期,587,,41,
龙华区,龙华街道,福景花园,1002,47,,
福田区,福保街道,阳光四季,2340,,94,
宝安区,航城街道,翠湖花园,2350,48,,
罗湖区,桂园街道,桂木园燃料公司住宅楼,1024,76,,
宝安区,西乡街道,永安商业城,2267,44,47,
龙岗区,南湾街道,桂芳园三期,1132,,58,
福田区,华富街道,银华大厦,3607,,62,
龙岗区,南湾街道,安鸿峰景苑,1134,,47,
福田区,香蜜湖街道,香蜜湖商住楼,2244,87,,
宝安区,新安街道,德业新城花园,2245,,80,
宝安区,福永街道,怀德峰景南园,3555,,56,
南山区,招商街道,桂园小区二区,3063,86,,
福田区,梅林街道,蓝宝石家园,2323,92,99,
宝安区,西乡街道,半岛明苑,2324,65,,
福田区,华强北街道,华发大院,2351,79,,
罗湖区,桂园街道,天元大厦,1267,,66,
宝安区,西乡街道,尖岗山名苑,3644,,92,150
宝安区,新安街道,天健时尚空间名苑,3624,,114,
罗湖区,翠竹街道,翠珠小区,1644,73,,
福田区,沙头街道,碧海红树园,2346,,101,
龙岗区,坪地街道,怡心广场,584,27,36,
宝安区,新安街道,宝河大厦,2241,54,58,
宝安区,新安街道,汉宝大厦,2242,,51,
宝安区,松岗街道,松河瑞园一期,3569,,46,
罗湖区,笋岗街道,桃花园(罗湖),719,55,,
福田区,福田街道,景佑商住楼,2325,80,,
坪山区,坪山街道,坪山招商花园城二期,2147,,42,
宝安区,新安街道,河滨阁,2349,56,,
宝安区,松岗街道,中海西岸华府,4170,57,38,
盐田区,梅沙街道,东部华侨城大侠谷公寓,2519,,46,
盐田区,沙头角街道,山海阳光园一期,2524,,58,
盐田区,梅沙街道,云顶天海花园,2525,58,,
盐田区,盐田街道,八佰麓居,2526,,57,
罗湖区,笋岗街道,洪湖二街6号大院,1945,65,,
南山区,南山街道,中兴之家,3904,95,,
南山区,招商街道,龙电花园B区,3905,84,,
福田区,福田街道,城市杰座名苑,2823,,105,
福田区,莲花街道,中房景苑大厦,3465,,77,
龙华区,观澜街道,观澜豪园二期,1264,52,53,
龙岗区,坂田街道,台湾花园(龙岗),1003,39,,
龙岗区,横岗街道,康乐花园,1339,,39,
宝安区,松岗街道,宏发君域花园,2246,,44,
宝安区,西乡街道,流塘大厦,2247,,50,
罗湖区,东湖街道,翡翠园一期,1641,66,75,
罗湖区,东门街道,金川大厦,639,61,,
龙岗区,龙岗街道,叠翠新峰花园一期,733,,39,
龙岗区,布吉街道,九矿大厦,3931,,41,
罗湖区,南湖街道,龙兴大厦,1524,,67,
