name,district,street,address,lng,lat,single_room,one_bed,two_bed,three_plus
黄榄坑老村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区黄榄坑老村,114.404888,22.62909,386,593,915,1152
对门岭,坪山区,碧岭街道,坪山区碧岭街道汤坑社区对门岭,114.306821,22.672751,335,514,792,998
民主新村,宝安区,沙井街道,宝安区沙井街道民主社区民主新村,113.773093,22.738481,505,776,1196,1507
保安社区简龙村,龙岗区,园山街道,龙岗区园山街道保安社区保安社区简龙村,114.240493,22.665466,757,1162,1793,2257
新塘村东区,龙华区,福城街道,龙华区福城街道桔塘社区新塘村东区,114.022383,22.723999,412,633,976,1229
爱联社区嶂背村,龙岗区,龙城街道,龙岗区龙城街道嶂背社区爱联社区嶂背村,114.238949,22.690279,550,845,1303,1641
凤凰社区格塘新村,龙岗区,布吉街道,龙岗区布吉街道凤凰社区凤凰社区格塘新村,114.100357,22.602972,600,921,1421,1790
新田村,罗湖区,东湖街道,罗湖区东湖街道大望社区新田村,114.173255,22.602554,933,1433,2211,2784
光雅园六七区,龙岗区,坂田街道,龙岗区坂田街道五和社区光雅园六七区,114.060691,22.62186,1010,1551,2393,3013
罗租老村西,宝安区,石岩街道,宝安区石岩街道罗租社区罗租老村西,113.92997,22.677002,515,790,1219,1535
沙一新村,宝安区,松岗街道,宝安区松岗街道沙浦社区沙一新村,113.830486,22.783507,439,674,1040,1309
坳下村,罗湖区,莲塘街道,罗湖区莲塘街道坳下社区坳下村,114.163527,22.56922,1202,1846,2848,3586
文景社区百和苑,龙岗区,布吉街道,龙岗区布吉街道文景社区文景社区百和苑,114.114902,22.618436,767,1177,1817,2288
隔彼小区,宝安区,新桥街道,宝安区新桥街道上星社区隔彼小区,113.827227,22.730856,513,788,1215,1530
新瑞一区,宝安区,航城街道,宝安区航城街道后瑞社区新瑞一区,113.829687,22.635567,884,1357,2093,2636
宝罗小区,宝安区,航城街道,宝安区航城街道鹤洲社区宝罗小区,113.85945,22.634338,754,1158,1787,2250
草围旧村,宝安区,航城街道,宝安区航城街道草围社区草围旧村,113.834753,22.627963,790,1213,1872,2357
黄田社区,宝安区,航城街道,宝安区航城街道黄田社区黄田社区,113.838131,22.631602,759,1165,1798,2264
麻布旧村,宝安区,西乡街道,宝安区西乡街道河东社区麻布旧村,113.879896,22.578733,1299,1994,3077,3874
白芒村,南山区,西丽街道,南山区西丽街道百旺社区白芒村,113.935782,22.626408,1052,1614,2491,3136
大梅沙村,盐田区,梅沙街道,盐田区梅沙街道大梅沙社区大梅沙村,114.300542,22.597432,846,1299,2004,2523
章輋村,罗湖区,清水河街道,罗湖区清水河街道草埔西社区章輋村,114.107781,22.59005,1194,1833,2829,3562
伟祥泰小区,龙华区,福城街道,龙华区福城街道兴富社区伟祥泰小区,114.006702,22.73624,536,822,1269,1597
杨美社区旺塘,龙岗区,坂田街道,龙岗区坂田街道杨美社区杨美社区旺塘,114.076542,22.632526,774,1188,1833,2309
泰兴花园,宝安区,沙井街道,宝安区沙井街道沙一社区泰兴花园,113.796812,22.737738,695,1066,1645,2072
新北区,宝安区,沙井街道,宝安区沙井街道后亭社区新北区,113.815077,22.761856,573,879,1357,1709
凤凰A3区,宝安区,福永街道,宝安区福永街道凤凰社区凤凰A3区,113.830361,22.696104,777,1193,1841,2318
新乐社区13队,宝安区,新安街道,宝安区新安街道新乐社区新乐社区13队,113.899501,22.553857,1296,1989,3069,3865
新乐社区7队,宝安区,新安街道,宝安区新安街道新乐社区新乐社区7队,113.897422,22.55449,1322,2030,3132,3944
海汇小区,宝安区,新安街道,宝安区新安街道海华社区海汇小区,113.879179,22.570702,1222,1876,2895,3646
商南安全文明小区,大鹏新区,葵涌街道,大鹏新区葵涌街道葵新社区商南安全文明小区,114.421742,22.631055,429,659,1016,1280
景乐新村北区,龙华区,龙华街道,龙华区龙华街道龙园社区景乐新村北区,114.015848,22.661692,695,1068,1647,2074
柑山住宅区,光明区,光明街道,光明区光明街道东周社区柑山住宅区,113.933432,22.767784,491,754,1163,1465
圳美新村,光明区,新湖街道,光明区新湖街道圳美社区圳美新村,113.941671,22.794174,463,711,1097,1381
永丰村,宝安区,西乡街道,宝安区西乡街道永丰社区永丰村,113.862214,22.575759,1391,2135,3294,4148
下围村下围东,龙华区,观湖街道,龙华区观湖街道樟溪社区下围村下围东,114.074008,22.68858,522,802,1237,1558
凤凰社区氹元村,龙岗区,平湖街道,龙岗区平湖街道凤凰社区凤凰社区氹元村,114.132888,22.693374,514,788,1216,1532
玉律五区,光明区,玉塘街道,光明区玉塘街道玉律社区玉律五区,113.89555,22.719442,514,790,1218,1534
保安社区坳新村,龙岗区,园山街道,龙岗区园山街道保安社区保安社区坳新村,114.208222,22.677329,735,1129,1741,2193
衙边新村南,宝安区,沙井街道,宝安区沙井街道衙边社区衙边新村南,113.80844,22.742028,570,875,1351,1701
福二西环,宝安区,福永街道,宝安区福永街道福永社区福二西环,113.805642,22.671731,720,1105,1705,2147
翠湖社区坑尾村,龙岗区,吉华街道,龙岗区吉华街道水径社区翠湖社区坑尾村,114.10225,22.618289,679,1043,1609,2026
布吉社区峰利一村,龙岗区,布吉街道,龙岗区布吉街道布吉社区布吉社区峰利一村,114.108373,22.605098,801,1230,1897,2389
大浪社区27区,宝安区,新安街道,宝安区新安街道大浪社区大浪社区27区,113.901494,22.579555,1254,1925,2970,3740
水祖坑,坪山区,石井街道,坪山区石井街道田心社区水祖坑,114.427007,22.698295,308,473,730,920
凌屋小区,龙华区,观澜街道,龙华区观澜街道君子布社区凌屋小区,114.091987,22.722465,425,652,1006,1266
塘尾村,光明区,凤凰街道,光明区凤凰街道塘尾社区塘尾村,113.898298,22.756108,459,705,1087,1369
田头社区老围,坪山区,石井街道,坪山区石井街道田头社区田头社区老围,114.398382,22.694154,337,518,799,1006
龙岗社区后福村,龙岗区,龙岗街道,龙岗区龙岗街道龙岗社区龙岗社区后福村,114.272969,22.736933,512,786,1213,1527
红星社区龙门新村,宝安区,松岗街道,宝安区松岗街道红星社区红星社区龙门新村,113.839282,22.764243,470,721,1113,1401
鹅公岭社区鹅公岭村,龙岗区,平湖街道,龙岗区平湖街道鹅公岭社区鹅公岭社区鹅公岭村,114.145294,22.682563,526,807,1245,1568
园湖一二三巷,龙岗区,龙城街道,龙岗区龙城街道嶂背社区园湖一二三巷,114.235173,22.682641,605,929,1434,1805
大三小区,龙华区,福城街道,龙华区福城街道大水坑社区大三小区,114.009475,22.732155,480,737,1136,1431
艇巷村,宝安区,西乡街道,宝安区西乡街道乐群社区艇巷村,113.870456,22.580381,1126,1728,2666,3357
鲤鱼塘小区,龙华区,龙华街道,龙华区龙华街道华联社区鲤鱼塘小区,114.006534,22.662287,680,1043,1610,2027
黄埔村,宝安区,新桥街道,宝安区新桥街道黄埔社区黄埔村,113.841109,22.718971,482,739,1141,1436
南联社区简头村,龙岗区,龙岗街道,龙岗区龙岗街道南联社区南联社区简头村,114.256163,22.728218,527,808,1247,1570
塘头福景小区,宝安区,石岩街道,宝安区石岩街道塘头社区塘头福景小区,113.914783,22.650111,638,980,1512,1904
大芬老村片区,龙岗区,布吉街道,龙岗区布吉街道大芬社区大芬老村片区,114.131532,22.612313,919,1411,2176,2741
安良社区沙排新村,龙岗区,园山街道,龙岗区园山街道安良社区安良社区沙排新村,114.220902,22.628011,522,802,1237,1558
坂田社区坂田村,龙岗区,坂田街道,龙岗区坂田街道坂田社区坂田社区坂田村,114.057383,22.639601,869,1334,2058,2591
步涌社区大田村,宝安区,沙井街道,宝安区沙井街道步涌社区步涌社区大田村,113.811498,22.761901,493,756,1167,1469
公明社区长春花园,光明区,公明街道,光明区公明街道公明社区公明社区长春花园,113.890396,22.785454,564,865,1335,1681
黄阁坑社区大围村,龙岗区,龙城街道,龙岗区龙城街道黄阁坑社区黄阁坑社区大围村,114.206174,22.711476,605,929,1433,1805
碧岭社区上沙,坪山区,碧岭街道,坪山区碧岭街道碧岭社区碧岭社区上沙,114.283659,22.663804,348,534,824,1038
西涌社区南门头村,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区西涌社区南门头村,114.546702,22.485304,388,596,920,1158
爱联社区怡苑小区,龙岗区,龙城街道,龙岗区龙城街道爱联社区爱联社区怡苑小区,114.222926,22.701368,714,1096,1691,2129
海边新村,南山区,南头街道,南山区南头街道红花园社区海边新村,113.911539,22.54064,1455,2233,3445,4338
建富一区,龙岗区,龙城街道,龙岗区龙城街道嶂背社区建富一区,114.248033,22.694207,574,880,1358,1711
大康社区大万老村,龙岗区,园山街道,龙岗区园山街道大康社区大康社区大万老村,114.235703,22.653238,389,597,922,1160
南约社区炳坑村,龙岗区,宝龙街道,龙岗区宝龙街道南约社区南约社区炳坑村,114.276137,22.690993,432,664,1024,1290
黄麻埔旧村,龙华区,大浪街道,龙华区大浪街道大浪社区黄麻埔旧村,114.000557,22.690286,519,797,1229,1548
沙嘴三坊,福田区,沙头街道,福田区沙头街道沙嘴社区沙嘴三坊,114.032552,22.519382,1611,2472,3815,4803
凉帽三区(含富豪山庄),龙岗区,吉华街道,龙岗区吉华街道甘坑社区凉帽三区(含富豪山庄),114.098499,22.647191,665,1021,1575,1984
银田新村,宝安区,西乡街道,宝安区西乡街道盐田社区银田新村,113.852391,22.584906,1446,2220,3425,4313
樟坑南景新村,龙华区,民治街道,龙华区民治街道樟坑社区樟坑南景新村,114.032727,22.620486,995,1527,2356,2967
坂田七区住宅小区,龙岗区,坂田街道,龙岗区坂田街道五和社区坂田七区住宅小区,114.054282,22.624284,1094,1680,2592,3264
松涛社区朝阳街,宝安区,松岗街道,宝安区松岗街道松涛社区松涛社区朝阳街,113.842635,22.767432,459,705,1087,1369
东方社区上头田村,宝安区,松岗街道,宝安区松岗街道东方社区东方社区上头田村,113.841114,22.760745,450,691,1066,1342
塘水围三区,龙华区,民治街道,龙华区民治街道民强社区塘水围三区,114.03302,22.621417,1027,1577,2433,3064
大田东区,宝安区,沙井街道,宝安区沙井街道步涌社区大田东区,113.810252,22.760246,479,736,1135,1429
茜坑社区银河新村,龙华区,福城街道,龙华区福城街道新和社区茜坑社区银河新村,114.040059,22.711847,529,812,1253,1577
玉壶新村,龙华区,大浪街道,龙华区大浪街道大浪社区玉壶新村,114.002514,22.69301,533,818,1262,1589
上木古社区上木古老村,龙岗区,平湖街道,龙岗区平湖街道上木古社区上木古社区上木古老村,114.113104,22.671766,456,700,1080,1360
张一村,龙华区,观澜街道,龙华区观澜街道君子布社区张一村,114.09131,22.717593,457,701,1082,1362
凹背村(含凹背大水龙),龙华区,观澜街道,龙华区观澜街道大富社区凹背村(含凹背大水龙),114.02735,22.745265,471,723,1116,1405
布吉社区老圩新村,龙岗区,布吉街道,龙岗区布吉街道布吉社区布吉社区老圩新村,114.108935,22.599688,761,1168,1801,2268
辅城坳社区辅城坳村,龙岗区,平湖街道,龙岗区平湖街道辅城坳社区辅城坳社区辅城坳村,114.113838,22.693082,552,847,1307,1646
富泉新村,龙华区,龙华街道,龙华区龙华街道三联社区富泉新村,114.028479,22.668011,809,1241,1915,2412
布吉社区百花小区,龙岗区,布吉街道,龙岗区布吉街道布吉社区布吉社区百花小区,114.106038,22.599587,794,1219,1881,2368
徐屋村,宝安区,西乡街道,宝安区西乡街道乐群社区徐屋村,113.871212,22.580248,1087,1668,2574,3241
海华社区自由北小区,宝安区,新安街道,宝安区新安街道海华社区海华社区自由北小区,113.878403,22.571655,1283,1970,3040,3828
南约社区汉田老村,龙岗区,宝龙街道,龙岗区宝龙街道南约社区南约社区汉田老村,114.269099,22.704942,496,761,1175,1479
沙坑村,大鹏新区,南澳街道,大鹏新区南澳街道南隆社区沙坑村,114.521737,22.50946,390,598,923,1162
大碓村,大鹏新区,南澳街道,大鹏新区南澳街道东山社区大碓村,114.537395,22.56133,405,622,959,1208
碧湖新村,宝安区,福海街道,宝安区福海街道新田社区碧湖新村,113.822718,22.696591,708,1087,1677,2112
荔枝山,大鹏新区,南澳街道,大鹏新区南澳街道东山社区荔枝山,114.532022,22.560301,500,767,1183,1490
杨梅坑,大鹏新区,南澳街道,大鹏新区南澳街道东山社区杨梅坑,114.578263,22.544778,387,595,918,1156
店仔村,大鹏新区,南澳街道,大鹏新区南澳街道东涌社区店仔村,114.572176,22.496552,447,686,1058,1332
冲街村,大鹏新区,南澳街道,大鹏新区南澳街道东涌社区冲街村,114.577753,22.492424,444,682,1052,1325
沙岗村,大鹏新区,南澳街道,大鹏新区南澳街道东涌社区沙岗村,114.577941,22.494529,454,696,1074,1353
西贡村,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区西贡村,114.521123,22.471763,438,673,1038,1307
南社村,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区南社村,114.516603,22.480479,421,647,998,1257
格田村,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区格田村,114.518452,22.485221,409,629,970,1221
西涌社区沙岗,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区西涌社区沙岗,114.528525,22.480715,483,741,1144,1440
西涌社区鹤薮,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区西涌社区鹤薮,114.536502,22.487333,412,632,975,1228
西涌社区新屋,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区西涌社区新屋,114.541348,22.490448,395,607,936,1179
芽山村,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区芽山村,114.539047,22.494648,386,593,915,1152
欧书元,大鹏新区,南澳街道,大鹏新区南澳街道新大社区欧书元,114.517656,22.531943,507,778,1200,1511
碧洲村,大鹏新区,南澳街道,大鹏新区南澳街道新大社区碧洲村,114.518985,22.538111,485,745,1149,1447
下横岗,大鹏新区,南澳街道,大鹏新区南澳街道新大社区下横岗,114.512593,22.533321,532,817,1260,1587
新屋仔,大鹏新区,南澳街道,大鹏新区南澳街道新大社区新屋仔,114.511451,22.534949,465,713,1100,1386
上横岗,大鹏新区,南澳街道,大鹏新区南澳街道新大社区上横岗,114.513964,22.531388,524,804,1241,1562
大岭吓,大鹏新区,南澳街道,大鹏新区南澳街道新大社区大岭吓,114.50965,22.541119,556,853,1317,1658
新大社区新圩,大鹏新区,南澳街道,大鹏新区南澳街道新大社区新大社区新圩,114.511286,22.543183,542,831,1283,1615
坪山仔,大鹏新区,南澳街道,大鹏新区南澳街道新大社区坪山仔,114.50907,22.531763,511,784,1209,1523
水头社区龙岐,大鹏新区,大鹏街道,大鹏新区大鹏街道水头社区水头社区龙岐,114.495979,22.569533,336,515,795,1001
水头村,大鹏新区,大鹏街道,大鹏新区大鹏街道水头社区水头村,114.488633,22.564569,456,700,1080,1360
西洋尾,大鹏新区,南澳街道,大鹏新区南澳街道西涌社区西洋尾,114.519199,22.488199,399,613,945,1190
岭澳新村,大鹏新区,大鹏街道,大鹏新区大鹏街道岭澳社区岭澳新村,114.467334,22.595636,566,869,1341,1688
下沙新村,大鹏新区,大鹏街道,大鹏新区大鹏街道下沙社区下沙新村,114.479485,22.598314,540,828,1278,1609
水贝村,大鹏新区,大鹏街道,大鹏新区大鹏街道布新社区水贝村,114.483489,22.584091,489,751,1158,1459
南坑埔,大鹏新区,大鹏街道,大鹏新区大鹏街道布新社区南坑埔,114.484092,22.573008,470,722,1114,1403
新屋园,大鹏新区,大鹏街道,大鹏新区大鹏街道布新社区新屋园,114.481151,22.576409,504,773,1193,1502
曹屋围村,大鹏新区,大鹏街道,大鹏新区大鹏街道大鹏社区曹屋围村,114.470654,22.590547,433,665,1026,1292
王母围,大鹏新区,大鹏街道,大鹏新区大鹏街道王母社区王母围,114.474249,22.590844,535,822,1268,1596
王屋巷,大鹏新区,大鹏街道,大鹏新区大鹏街道王母社区王屋巷,114.472642,22.596475,548,841,1297,1634
黄岐塘,大鹏新区,大鹏街道,大鹏新区大鹏街道王母社区黄岐塘,114.480732,22.60014,447,686,1058,1332
石禾塘村,大鹏新区,大鹏街道,大鹏新区大鹏街道大鹏社区石禾塘村,114.472761,22.594271,552,848,1308,1647
王桐山,大鹏新区,大鹏街道,大鹏新区大鹏街道王母社区王桐山,114.480294,22.595129,454,697,1076,1355
大鹏山庄,大鹏新区,大鹏街道,大鹏新区大鹏街道王母社区大鹏山庄,114.470433,22.605206,490,752,1160,1461
石桥头,大鹏新区,大鹏街道,大鹏新区大鹏街道布新社区石桥头,114.479981,22.579139,500,768,1184,1492
布锦村,大鹏新区,大鹏街道,大鹏新区大鹏街道布新社区布锦村,114.482155,22.574843,474,727,1122,1413
四和村,大鹏新区,大鹏街道,大鹏新区大鹏街道鹏城社区四和村,114.503372,22.600065,476,731,1128,1421
较场尾,大鹏新区,大鹏街道,大鹏新区大鹏街道鹏城社区较场尾,114.50272,22.589928,468,718,1108,1396
秀新社区红岭村,坪山区,坑梓街道,坪山区坑梓街道金沙社区秀新社区红岭村,114.380326,22.748336,365,560,864,1089
官湖社区官湖,大鹏新区,葵涌街道,大鹏新区葵涌街道官湖社区官湖社区官湖,114.417098,22.606897,496,762,1175,1480
虎地排,大鹏新区,葵涌街道,大鹏新区葵涌街道葵新社区虎地排,114.416525,22.622461,432,663,1023,1289
横头新村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区横头新村,114.412083,22.633633,432,662,1022,1287
东门村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵新社区东门村,114.418407,22.630219,429,658,1016,1279
张屋村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵新社区张屋村,114.419669,22.630287,395,607,936,1179
金葵二区,大鹏新区,葵涌街道,大鹏新区葵涌街道葵新社区金葵二区,114.421436,22.627058,385,591,912,1149
金葵一区,大鹏新区,葵涌街道,大鹏新区葵涌街道葵新社区金葵一区,114.42137,22.628487,383,588,907,1142
深水田,大鹏新区,葵涌街道,大鹏新区葵涌街道高源社区深水田,114.440509,22.641978,381,584,902,1135
高圳头,大鹏新区,葵涌街道,大鹏新区葵涌街道高源社区高圳头,114.431015,22.633144,419,644,994,1251
围之布,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区围之布,114.423212,22.638564,464,712,1099,1384
石碑村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区石碑村,114.421718,22.642214,468,718,1108,1396
油榨村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区油榨村,114.41893,22.635062,510,783,1207,1520
福田村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区福田村,114.418412,22.636546,439,673,1039,1308
下禾塘村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区下禾塘村,114.419325,22.638659,438,673,1038,1307
上禾塘村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区上禾塘村,114.41845,22.641303,454,697,1075,1353
黄屋村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区黄屋村,114.424795,22.642681,464,712,1098,1383
曾屋村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区曾屋村,114.426172,22.640969,453,696,1074,1352
松树村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区松树村,114.409584,22.636556,431,661,1020,1284
葵丰社区欧屋,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区葵丰社区欧屋,114.418717,22.63217,451,693,1069,1346
上角村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区上角村,114.417901,22.633675,437,671,1035,1304
新村岭村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区新村岭村,114.413671,22.628609,365,560,864,1088
上塘村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区上塘村,114.404093,22.637786,368,565,871,1097
石场村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区石场村,114.408865,22.639166,441,678,1045,1316
莲花村,大鹏新区,大鹏街道,大鹏新区大鹏街道大鹏社区莲花村,114.468157,22.592594,516,792,1222,1538
中新村,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区中新村,114.424258,22.636112,460,707,1090,1373
葵兴小区,大鹏新区,葵涌街道,大鹏新区葵涌街道葵涌社区葵兴小区,114.416022,22.634475,435,667,1029,1296
担水南,大鹏新区,葵涌街道,大鹏新区葵涌街道葵涌社区担水南,114.4194,22.633638,446,684,1056,1330
欧新小区,大鹏新区,葵涌街道,大鹏新区葵涌街道葵涌社区欧新小区,114.421471,22.633142,410,629,971,1223
洞背旧村,大鹏新区,葵涌街道,大鹏新区葵涌街道溪涌社区洞背旧村,114.343796,22.613558,553,850,1311,1651
盐村,大鹏新区,葵涌街道,大鹏新区葵涌街道溪涌社区盐村,114.351049,22.612335,426,654,1009,1270
中屯新村,光明区,马田街道,光明区马田街道合水口社区中屯新村,113.879644,22.787644,386,593,915,1152
泥围旧村,光明区,马田街道,光明区马田街道合水口社区泥围旧村,113.877088,22.788662,397,610,941,1185
泥围新村,光明区,马田街道,光明区马田街道合水口社区泥围新村,113.873011,22.791704,430,660,1019,1283
合水口村,光明区,马田街道,光明区马田街道合水口社区合水口村,113.877093,22.786825,416,638,984,1239
横岭新村,光明区,马田街道,光明区马田街道合水口社区横岭新村,113.87821,22.782137,460,706,1090,1372
马山头旧村,光明区,马田街道,光明区马田街道马山头社区马山头旧村,113.874445,22.781756,431,661,1020,1285
马山头新村,光明区,马田街道,光明区马田街道马山头社区马山头新村,113.875916,22.782486,434,666,1027,1293
薯田埔村,光明区,马田街道,光明区马田街道薯田埔社区薯田埔村,113.862469,22.782464,416,638,984,1240
将石新村,光明区,马田街道,光明区马田街道将围社区将石新村,113.896008,22.765156,476,731,1128,1421
塘下围,光明区,马田街道,光明区马田街道将围社区塘下围,113.896224,22.760524,482,740,1142,1439
将围旧村,光明区,马田街道,光明区马田街道将围社区将围旧村,113.897736,22.758787,414,636,981,1235
东一村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区东一村,114.406268,22.636955,365,560,864,1088
石围新村西区,光明区,马田街道,光明区马田街道石围社区石围新村西区,113.893252,22.756029,472,724,1118,1407
新屋仔,大鹏新区,葵涌街道,大鹏新区葵涌街道三溪社区新屋仔,114.416048,22.637323,451,692,1068,1345
石围新村东区,光明区,马田街道,光明区马田街道石围社区石围新村东区,113.894459,22.756075,459,704,1086,1368
石围旧村,光明区,马田街道,光明区马田街道石围社区石围旧村,113.896636,22.756581,418,641,989,1245
下石家旧村,光明区,马田街道,光明区马田街道石家社区下石家旧村,113.891149,22.769394,425,652,1006,1267
下石家新村,光明区,马田街道,光明区马田街道石家社区下石家新村,113.894236,22.770087,441,676,1043,1314
上石家北区,光明区,马田街道,光明区马田街道石家社区上石家北区,113.889815,22.765094,476,731,1128,1420
塘尾新村,光明区,马田街道,光明区马田街道新庄社区塘尾新村,113.902157,22.763425,449,690,1065,1341
大围村,光明区,马田街道,光明区马田街道新庄社区大围村,113.90439,22.763945,478,733,1131,1424
新围村,光明区,马田街道,光明区马田街道新庄社区新围村,113.904614,22.768804,454,697,1075,1354
南庄新村,光明区,马田街道,光明区马田街道新庄社区南庄新村,113.906401,22.77567,473,726,1120,1411
根竹园社区旧村,光明区,马田街道,光明区马田街道根竹园社区根竹园社区旧村,113.87097,22.775839,487,748,1154,1453
屯围村,大鹏新区,葵涌街道,大鹏新区葵涌街道葵丰社区屯围村,114.412238,22.635246,437,671,1035,1304
西边园,光明区,马田街道,光明区马田街道根竹园社区西边园,113.868284,22.774693,489,751,1159,1460
田新路片区,光明区,玉塘街道,光明区玉塘街道田寮社区田新路片区,113.893341,22.731634,409,628,969,1220
田明街片区,光明区,玉塘街道,光明区玉塘街道田寮社区田明街片区,113.89591,22.728875,478,734,1133,1427
金兴小区,大鹏新区,葵涌街道,大鹏新区葵涌街道葵涌社区金兴小区,114.414035,22.63489,434,666,1027,1294
长塘住宅片区,光明区,玉塘街道,光明区玉塘街道田寮社区长塘住宅片区,113.896143,22.733216,445,684,1055,1328
田寮新村片区,光明区,玉塘街道,光明区玉塘街道田寮社区田寮新村片区,113.898031,22.729815,475,729,1125,1417
长圳旧村片区,光明区,玉塘街道,光明区玉塘街道长圳社区长圳旧村片区,113.911371,22.721987,514,790,1218,1534
长圳西片区,光明区,玉塘街道,光明区玉塘街道长圳社区长圳西片区,113.910175,22.719549,555,853,1315,1656
长圳东片区,光明区,玉塘街道,光明区玉塘街道长圳社区长圳东片区,113.912996,22.719922,543,833,1286,1619
玉律四区,光明区,玉塘街道,光明区玉塘街道玉律社区玉律四区,113.894232,22.722922,497,763,1178,1483
